iso_year,iso_week,week_start,district,cases
2025,17,2025-04-21,Gampaha,171
2025,17,2025-04-21,Kalutara,42
2025,17,2025-04-21,Kandy,53
2025,17,2025-04-21,Matale,28
2025,17,2025-04-21,Nuwara Eliya,3
2025,17,2025-04-21,Galle,23
2025,17,2025-04-21,Matara,35
2025,17,2025-04-21,Hambantota,12
2025,17,2025-04-21,Jaffna,18
2025,17,2025-04-21,Kilinochchi,1
2025,17,2025-04-21,Mannar,2
2025,17,2025-04-21,Vavuniya,5
2025,17,2025-04-21,Mullaitivu,1
2025,17,2025-04-21,Batticaloa,62
2025,17,2025-04-21,Ampara,13
2025,17,2025-04-21,Trincomalee,44
2025,17,2025-04-21,Kurunegala,13
2025,17,2025-04-21,Puttalam,7
2025,17,2025-04-21,Anuradhapura,4
2025,17,2025-04-21,Polonnaruwa,5
2025,17,2025-04-21,Badulla,11
2025,17,2025-04-21,Monaragala,27
2025,17,2025-04-21,Ratnapura,146
2025,17,2025-04-21,Kegalle,13
2025,18,2025-04-28,Colombo,306
2025,18,2025-04-28,Gampaha,166
2025,18,2025-04-28,Kalutara,64
2025,18,2025-04-28,Kandy,73
2025,18,2025-04-28,Matale,42
2025,18,2025-04-28,Nuwara Eliya,6
2025,18,2025-04-28,Galle,55
2025,18,2025-04-28,Matara,38
2025,18,2025-04-28,Hambantota,23
2025,18,2025-04-28,Jaffna,44
2025,18,2025-04-28,Kilinochchi,7
2025,18,2025-04-28,Mannar,1
2025,18,2025-04-28,Vavuniya,1
2025,18,2025-04-28,Mullaitivu,0
2025,18,2025-04-28,Batticaloa,94
2025,18,2025-04-28,Ampara,15
2025,18,2025-04-28,Trincomalee,46
2025,18,2025-04-28,Kurunegala,53
2025,18,2025-04-28,Puttalam,10
2025,18,2025-04-28,Anuradhapura,8
2025,18,2025-04-28,Polonnaruwa,8
2025,18,2025-04-28,Badulla,19
2025,18,2025-04-28,Monaragala,12
2025,18,2025-04-28,Ratnapura,319
2025,18,2025-04-28,Kegalle,35
2025,19,2025-05-05,Colombo,276
2025,19,2025-05-05,Gampaha,158
2025,19,2025-05-05,Kalutara,59
2025,19,2025-05-05,Kandy,60
2025,19,2025-05-05,Matale,28
2025,19,2025-05-05,Nuwara Eliya,6
2025,19,2025-05-05,Galle,29
2025,19,2025-05-05,Matara,38
2025,19,2025-05-05,Hambantota,24
2025,19,2025-05-05,Jaffna,20
2025,19,2025-05-05,Kilinochchi,1
2025,19,2025-05-05,Mannar,6
2025,19,2025-05-05,Vavuniya,3
2025,19,2025-05-05,Mullaitivu,2
2025,19,2025-05-05,Batticaloa,84
2025,19,2025-05-05,Ampara,24
2025,19,2025-05-05,Trincomalee,64
2025,19,2025-05-05,Kurunegala,34
2025,19,2025-05-05,Puttalam,9
2025,19,2025-05-05,Anuradhapura,10
2025,19,2025-05-05,Polonnaruwa,10
2025,19,2025-05-05,Badulla,12
2025,19,2025-05-05,Monaragala,22
2025,19,2025-05-05,Ratnapura,273
2025,19,2025-05-05,Kegalle,38
2025,20,2025-05-12,Colombo,310
2025,20,2025-05-12,Gampaha,194
2025,20,2025-05-12,Kalutara,63
2025,20,2025-05-12,Kandy,77
2025,20,2025-05-12,Matale,23
2025,20,2025-05-12,Nuwara Eliya,7
2025,20,2025-05-12,Galle,32
2025,20,2025-05-12,Matara,17
2025,20,2025-05-12,Hambantota,16
2025,20,2025-05-12,Jaffna,18
2025,20,2025-05-12,Kilinochchi,1
2025,20,2025-05-12,Mannar,1
2025,20,2025-05-12,Vavuniya,0
2025,20,2025-05-12,Mullaitivu,1
2025,20,2025-05-12,Batticaloa,59
2025,20,2025-05-12,Ampara,17
2025,20,2025-05-12,Trincomalee,55
2025,20,2025-05-12,Kurunegala,30
2025,20,2025-05-12,Puttalam,12
2025,20,2025-05-12,Anuradhapura,11
2025,20,2025-05-12,Polonnaruwa,10
2025,20,2025-05-12,Badulla,7
